temporal_res,n_layers,speed-up(cpu),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
120,12,0.952196261,0.02410505,0.003364567,0.088806666,0.099507861
120,11,1.029794661,0.027070031,0.003005975,0.092943519,0.108538881
120,10,1.082907738,0.019410267,0.003451153,0.047370013,0.054695733
120,9,1.295686881,0.029205939,0.003178018,0.065532021,0.072349116
120,8,1.59441706,0.020553872,0.003037284,0.074841321,0.077768929
120,7,1.951840685,0.029635889,0.003215034,0.054620903,0.07245516
120,6,2.282177355,0.028318405,0.003015623,0.089333795,0.105868034
120,5,2.981967161,0.037693646,0.002835782,0.073062696,0.08086513
120,4,3.553855884,0.040429052,0.002908939,0.079052724,0.091526911
120,3,4.744093308,0.029231241,0.004002329,0.073800392,0.093350768
120,2,6.773198263,0.037903633,0.002945051,0.078802176,0.086310171
120,1,9.206415585,0.041943002,0.003238949,0.093791097,0.080926105
60,9,0.617365518,0.027221773,0.003434478,0.089189127,0.091566384
60,8,0.770849232,0.023892544,0.002038595,0.068016171,0.085592337
60,7,0.807728573,0.029724408,0.003202635,0.08811067,0.080810577
60,6,1.010460024,0.025495045,0.003862667,0.057721276,0.06366311
60,5,1.146969983,0.029775973,0.003829414,0.100517601,0.105127797
60,4,1.416925974,0.045797847,0.003345347,0.090261281,0.114796884
60,3,2.062330499,0.046370007,0.003156358,0.106319159,0.12636742
60,2,2.583333903,0.045903407,0.002708291,0.083224751,0.108138487
60,1,4.817686637,0.046840437,0.003108923,0.061036091,0.065182626
30,8,0.395114558,0.022494452,0.005307941,0.047580969,0.060677897
30,7,0.519204451,0.032059886,0.00561044,0.062255248,0.080023371
30,6,0.502258038,0.020861391,0.00292935,0.084422342,0.090408616
30,5,0.623154748,0.037989352,0.003297545,0.065253444,0.064986482
30,4,0.913583439,0.0548946,0.005086313,0.154271975,0.163277552
30,3,1.181440894,0.058622383,0.005867703,0.120053627,0.129148155
30,2,1.794435035,0.061459865,0.005062917,0.113734253,0.114848301
30,1,2.170365907,0.05383379,0.002916321,0.097864591,0.09973304
90,12,0.624843734,0.026026743,0.00444634,0.074670009,0.076323815
90,11,0.702420965,0.028713074,0.003479406,0.074785158,0.086758539
90,10,0.7605334,0.029588817,0.004021116,0.070347466,0.08645355
90,9,0.931185903,0.028068842,0.003879357,0.090339608,0.088751443
90,8,1.12681269,0.031244762,0.002861381,0.063538499,0.068833753
90,7,1.324580451,0.035828538,0.003469511,0.119962528,0.134584203
90,6,1.596057717,0.034530032,0.002967136,0.107671514,0.119017765
90,5,1.938156541,0.032232691,0.00353901,0.094863504,0.112974964
90,4,2.403122437,0.050107647,0.003958525,0.104646087,0.122871518
90,3,3.230772344,0.042478513,0.003157422,0.088660821,0.109190077
90,2,4.051223873,0.033706635,0.003172766,0.086708643,0.112226598
90,1,6.642159271,0.040896896,0.002844349,0.083621621,0.081402913
