hid_features,n_layers,total_parameters,speed-up(cpu),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
64,9,107786,0.45382031962214486,0.0649987980723381,0.005183557514101267,0.10480578988790512,0.13989844918251038
64,8,103690,0.4505806589425626,0.0383060984313488,0.0031890312675386667,0.10160879045724869,0.11345691233873367
64,7,99594,0.5766899549045418,0.0360855907201767,0.0023303998168557882,0.10763838142156601,0.10530015081167221
64,6,95498,0.5134581782245867,0.04657463729381561,0.003058139467611909,0.09946977347135544,0.08975131809711456
64,5,91402,0.5834681806597843,0.05218945071101189,0.005962143186479807,0.1146148294210434,0.12296324223279953
64,4,87306,0.7384543875658559,0.0611463338136673,0.002285903552547097,0.09972850978374481,0.09787310659885406
64,3,83210,2.225517109990831,0.45133456587791443,0.07959860563278198,0.14525672793388367,0.17325645685195923
64,2,79114,1.3907070852539556,0.05396006256341934,0.02247895486652851,0.056744284927845,0.06338230520486832
64,1,75018,2.626185567807715,0.022195175290107727,0.0017286556540057063,0.06708980351686478,0.05382532253861427
32,9,27274,0.8311559934470566,0.05099772661924362,0.0029021091759204865,0.08781076222658157,0.08707437664270401
32,8,26250,1.1276169885838403,0.4537309408187866,0.006724387872964144,0.09902490675449371,0.13148002326488495
32,7,25226,1.2073911639611847,0.047952666878700256,0.0027759114746004343,0.07360798120498657,0.06793190538883209
32,6,24202,1.4262264718951514,0.04679829627275467,0.012450727634131908,0.1229974552989006,0.12914611399173737
32,5,23178,1.5192533551886926,0.04247671365737915,0.003823806531727314,0.10304001718759537,0.1054113581776619
32,4,22154,1.9740613791456247,0.047445811331272125,0.0023578843101859093,0.11083172261714935,0.1136026456952095
32,3,21130,2.776763614177903,0.08711829781532288,0.0060030738823115826,0.12986670434474945,0.15628647804260254
32,2,20106,4.432018452009491,0.12453490495681763,0.007452764082700014,0.08569902181625366,0.125605046749115
32,1,19082,4.68282600345202,0.1491265445947647,0.025393197312951088,0.07321985810995102,0.04550507292151451
16,9,6986,1.1571484986820324,0.036443572491407394,0.005438713356852531,0.0858362466096878,0.08287342637777328
16,8,6730,1.6811818527000775,0.10459987074136734,0.007323920261114836,0.08682702481746674,0.10409388691186905
16,7,6474,1.595938803301981,0.13725979626178741,0.0054633282124996185,0.06942597031593323,0.09179015457630157
16,6,6218,1.977133506784846,0.0651179850101471,0.0037268290761858225,0.11339598894119263,0.09054815769195557
16,5,5962,2.2429749922086626,0.05216335132718086,0.0049303313717246056,0.08384640514850616,0.08792401105165482
16,4,5706,2.6805009350079123,0.03982434794306755,0.008977251127362251,0.07500758022069931,0.07300359755754471
16,3,5450,5.507551197506555,0.18587936460971832,0.02189825102686882,0.12343035638332367,0.15990974009037018
16,2,5194,8.413742268612136,0.3302460312843323,0.14209243655204773,0.06290590763092041,0.07186103612184525
16,1,4938,9.272554629719355,0.058361854404211044,0.00639380794018507,0.06567902117967606,0.06481409072875977
8,9,1834,2.3714094856228214,0.04411625117063522,0.00544893741607666,0.1211879625916481,0.11242365092039108
8,8,1770,2.6836462572948343,0.02804866060614586,0.0016328092897310853,0.10839672386646271,0.10599680989980698
8,7,1706,3.338139183458008,0.03024212084710598,0.0018426936585456133,0.09253162890672684,0.09069141000509262
8,6,1642,3.4400006131054606,0.0638989806175232,0.0031012215185910463,0.09809230268001556,0.10803132504224777
8,5,1578,3.9952546313512323,0.03610769659280777,0.002872397191822529,0.08358131349086761,0.07262193411588669
8,4,1514,5.647451152717455,0.04368659481406212,0.008128220215439796,0.0887804925441742,0.09695710986852646
8,3,1450,8.469210454669032,0.1330389529466629,0.023724529892206192,0.10657390207052231,0.07631724327802658
8,2,1386,12.226965563605749,0.2518824636936188,0.013687321916222572,0.05886618420481682,0.06161082163453102
8,1,1322,13.45450829105836,0.026736659929156303,0.001917565823532641,0.027844958007335663,0.029108421877026558
