hid_features,n_layers,total_parameters,speed-up(cpu),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
64,9,107786,2.7244769150778807,0.09167593717575073,0.011143384501338005,0.7929111123085022,0.7634701728820801
64,8,103690,3.1163939657175352,0.06290767341852188,0.007950454019010067,0.8516794443130493,0.8272131681442261
64,7,99594,3.7859775936646116,0.08888224512338638,0.010424063540995121,0.7764848470687866,0.7546205520629883
64,6,95498,4.309963527242351,0.0811382383108139,0.011249144561588764,0.7973383665084839,0.771809458732605
64,5,91402,4.989900417444651,0.09950373321771622,0.012946052476763725,0.7493131160736084,0.7171563506126404
64,4,87306,6.036684834085236,0.11667706817388535,0.012028241530060768,0.7225016355514526,0.6734291315078735
64,3,83210,8.47517518090388,0.13123705983161926,0.012945147231221199,0.6800884008407593,0.6353248953819275
64,2,79114,11.242619388532242,0.15534093976020813,0.014465676620602608,0.6265906095504761,0.5699461698532104
64,1,75018,22.279557576093023,0.20627999305725098,0.015548525378108025,0.4634994566440582,0.42864760756492615
32,9,27274,5.801650912997807,0.10254470258951187,0.012329312972724438,0.747008204460144,0.7188975214958191
32,8,26250,6.2849138131163444,0.10492297261953354,0.011134789325296879,0.78367018699646,0.738351047039032
32,7,25226,7.230197060561684,0.08886537700891495,0.010881667956709862,0.7949493527412415,0.7610248923301697
32,6,24202,8.73273854167742,0.09405191987752914,0.011015955358743668,0.7711156010627747,0.7341729998588562
32,5,23178,10.805825805424913,0.102716363966465,0.011442357674241066,0.7374545335769653,0.7111381888389587
32,4,22154,12.78816197639683,0.11130980402231216,0.012046420946717262,0.7254535555839539,0.6904685497283936
32,3,21130,17.333072159055128,0.13020050525665283,0.01305081695318222,0.6817394495010376,0.6365718245506287
32,2,20106,23.62093754525635,0.16949650645256042,0.015593144111335278,0.5843725204467773,0.5448614358901978
32,1,19082,43.69772453649583,0.2649231255054474,0.023460179567337036,0.4696846902370453,0.4454469084739685
16,9,6986,12.402913721403067,0.09522449970245361,0.011637447401881218,0.7613321542739868,0.7355179786682129
16,8,6730,13.245889051116214,0.09942033141851425,0.013188856653869152,0.7561861872673035,0.7265595197677612
16,7,6474,15.35849560172152,0.10749514400959015,0.012091973796486855,0.7479978799819946,0.7112435102462769
16,6,6218,17.856094759224643,0.09238455444574356,0.010517079383134842,0.7674077749252319,0.7383648753166199
16,5,5962,21.856375541254973,0.10503001511096954,0.01219853013753891,0.7345432043075562,0.7009763121604919
16,4,5706,26.58370767667035,0.11515901237726212,0.013164031319320202,0.7054947018623352,0.6761048436164856
16,3,5450,35.87469975369767,0.1295005977153778,0.01342514157295227,0.6737234592437744,0.6409288644790649
16,2,5194,48.450906792682865,0.16500334441661835,0.016798559576272964,0.6234098076820374,0.5764922499656677
16,1,4938,91.40539147281031,0.218221977353096,0.01768038235604763,0.44183826446533203,0.418139785528183
8,9,1834,16.511932607991415,0.13029640913009644,0.012955096550285816,0.6899915933609009,0.6449562907218933
8,8,1770,18.51007629093431,0.16631057858467102,0.014230896718800068,0.5886498689651489,0.5510663986206055
8,7,1706,20.54533799723645,0.12537555396556854,0.012805911712348461,0.6909120082855225,0.6479730606079102
8,6,1642,22.830692160643288,0.11845556646585464,0.013095498085021973,0.707579493522644,0.6763264536857605
8,5,1578,26.185740672313376,0.13415491580963135,0.014440139755606651,0.6759243011474609,0.6353427767753601
8,4,1514,31.540344934918572,0.14246776700019836,0.017005806788802147,0.6722199320793152,0.6271158456802368
8,3,1450,46.18053149510338,0.18661630153656006,0.016041915863752365,0.5719057321548462,0.5201743245124817
8,2,1386,63.09692878792083,0.17959381639957428,0.015525437891483307,0.5815607905387878,0.5398250818252563
8,1,1322,126.42688279561158,0.2805817127227783,0.01691148243844509,0.17325198650360107,0.1960780918598175
