hid_features,n_layers,total_parameters,speed-up(cuda),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
64,9,107786,92.66208775840951,0.1507309228181839,0.014923247508704662,0.6823902726173401,0.6203137636184692
64,8,103690,106.88426525509927,0.11604759842157364,0.011840696446597576,0.6817665100097656,0.6383407115936279
64,7,99594,120.76789518656221,0.142733633518219,0.011487238109111786,0.6442768573760986,0.6025426983833313
64,6,95498,133.7704246150088,0.11592727154493332,0.009699128568172455,0.6741353273391724,0.6369057297706604
64,5,91402,156.2721687791232,0.13949497044086456,0.014586036093533039,0.6218997240066528,0.58527672290802
64,4,87306,187.36117708956445,0.15957514941692352,0.011396178044378757,0.5594286322593689,0.5321699976921082
64,3,83210,236.37254947356413,0.45329219102859497,0.0656818374991417,0.5306257009506226,0.4833981990814209
64,2,79114,307.4097205444723,0.2794404625892639,0.056466396898031235,0.45467543601989746,0.4253512918949127
64,1,75018,546.2483859960864,0.1950969696044922,0.010908976197242737,0.45169585943222046,0.38245898485183716
32,9,27274,110.7639232058104,0.1319565773010254,0.014876489527523518,0.6526178121566772,0.6109142303466797
32,8,26250,120.2380150259789,0.5104642510414124,0.02886972762644291,0.5885276794433594,0.5042343735694885
32,7,25226,141.3107109126932,0.13033007085323334,0.009837666526436806,0.6480346322059631,0.6033319234848022
32,6,24202,161.5057857407524,0.12958161532878876,0.01711980625987053,0.6742232441902161,0.6328670382499695
32,5,23178,193.9857809394168,0.14407207071781158,0.014994049444794655,0.6330486536026001,0.5818870663642883
32,4,22154,229.4821436398951,0.15398947894573212,0.01560958381742239,0.5826417803764343,0.5382269620895386
32,3,21130,282.4985018422336,0.1961529701948166,0.01579604484140873,0.5373303294181824,0.4917124807834625
32,2,20106,373.85707017470077,0.26757246255874634,0.02092078886926174,0.4756736755371094,0.4179801046848297
32,1,19082,604.8827044296055,0.42369911074638367,0.040238846093416214,0.438199520111084,0.35745325684547424
16,9,6986,117.09295686626277,0.12766771018505096,0.015769092366099358,0.6491692662239075,0.6112848520278931
16,8,6730,130.14024142544142,0.20215415954589844,0.015554450452327728,0.6049816012382507,0.5510973930358887
16,7,6474,147.914910984998,0.3245033919811249,0.01915530115365982,0.5841471552848816,0.5055045485496521
16,6,6218,168.23282367300743,0.13158784806728363,0.010056564584374428,0.6434721946716309,0.6091872453689575
16,5,5962,196.19869367675793,0.16804207861423492,0.01609261892735958,0.60590660572052,0.5626676082611084
16,4,5706,238.14836790336363,0.13266371190547943,0.014794987626373768,0.5854307413101196,0.5610654950141907
16,3,5450,299.17277122114854,0.27829644083976746,0.029010672122240067,0.4831082224845886,0.4315190315246582
16,2,5194,402.2070035142054,0.36611318588256836,0.09973873943090439,0.4848874509334564,0.45787662267684937
16,1,4938,629.3955467257416,0.18096515536308289,0.013911168090999126,0.4236012101173401,0.37735992670059204
8,9,1834,117.3463874770569,0.13183705508708954,0.010644273832440376,0.5626418590545654,0.5197280645370483
8,8,1770,129.16309324609895,0.16205182671546936,0.009246467612683773,0.41627830266952515,0.3782675862312317
8,7,1706,148.0755433332737,0.14020250737667084,0.009708145633339882,0.5589884519577026,0.5112384557723999
8,6,1642,167.43988279945853,0.1929473876953125,0.010889082215726376,0.560435950756073,0.5095465183258057
8,5,1578,197.3712181904381,0.12610279023647308,0.010427135042846203,0.5806974172592163,0.5455626845359802
8,4,1514,242.7635081573403,0.15822504460811615,0.018188120797276497,0.5593280792236328,0.5146738886833191
8,3,1450,304.79304453180663,0.27425381541252136,0.03403254598379135,0.4682179391384125,0.406257688999176
8,2,1386,406.70853789670053,0.5353009104728699,0.029541153460741043,0.4582461416721344,0.3955680727958679
8,1,1322,634.8091611075822,0.21951916813850403,0.009934071451425552,0.10820616781711578,0.12240276485681534
