hid_features,n_layers,total_parameters,speed-up(cuda),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
64,9,107786,14.779800438865342,0.06701091676950455,0.005259422119706869,0.10856247693300247,0.14213979244232178
64,8,103690,14.158724667310372,0.035704195499420166,0.0031645488925278187,0.09922689199447632,0.11204812675714493
64,7,99594,16.74854310776591,0.03926081210374832,0.0019402445759624243,0.10426033288240433,0.10558544099330902
64,6,95498,15.446865742959895,0.04402302950620651,0.0030083118472248316,0.09012899547815323,0.08230612426996231
64,5,91402,18.08095129734787,0.05682862922549248,0.005736103747040033,0.11563282459974289,0.12175264954566956
64,4,87306,19.667905623154567,0.0625094622373581,0.0022503347136080265,0.09670323133468628,0.09595298767089844
64,3,83210,36.116947788602474,0.4609546661376953,0.0803159549832344,0.15286368131637573,0.17910845577716827
64,2,79114,28.980045448174874,0.06320156157016754,0.026753026992082596,0.05667819455265999,0.06412335485219955
64,1,75018,48.39253252417701,0.022371193394064903,0.001731741358526051,0.06715571135282516,0.053984519094228745
32,9,27274,13.422864805151617,0.050760239362716675,0.0027358457446098328,0.08820672333240509,0.0873938798904419
32,8,26250,15.846504004593589,0.46084243059158325,0.007067451719194651,0.09856114536523819,0.1321563720703125
32,7,25226,17.88628013974385,0.046794045716524124,0.002689211629331112,0.07341452687978745,0.06649661809206009
32,6,24202,15.185572169819908,0.04978686198592186,0.013096178881824017,0.12269579619169235,0.12964275479316711
32,5,23178,19.198506683389795,0.041141584515571594,0.003512604860588908,0.10338497161865234,0.10401415824890137
32,4,22154,24.712009033178187,0.045663021504879,0.0023995544761419296,0.1134222000837326,0.11509925127029419
32,3,21130,24.95179457675862,0.08462545275688171,0.005831525195389986,0.12564368546009064,0.15279139578342438
32,2,20106,36.30514967381163,0.1250552237033844,0.007505200803279877,0.0870337262749672,0.1265239268541336
32,1,19082,52.5114737333289,0.14984452724456787,0.025351159274578094,0.07321948558092117,0.04549885168671608
16,9,6986,13.638304151430573,0.033986903727054596,0.005361803341656923,0.08386706560850143,0.08205389976501465
16,8,6730,16.36971401685121,0.1072116494178772,0.007463066838681698,0.08655475080013275,0.10408859699964523
16,7,6474,14.873729182118442,0.13663502037525177,0.005432777106761932,0.06892943382263184,0.09151851385831833
16,6,6218,16.52996122887471,0.06438019871711731,0.004302049987018108,0.11094329506158829,0.08853001147508621
16,5,5962,20.611776703748408,0.052409835159778595,0.005000785458832979,0.08736342191696167,0.09578711539506912
16,4,5706,21.72425111569399,0.03955988585948944,0.009107098914682865,0.07580751180648804,0.07588470727205276
16,3,5450,29.62159258805715,0.18052300810813904,0.021475257351994514,0.11569618433713913,0.15281979739665985
16,2,5194,36.246932248518625,0.30894023180007935,0.13605080544948578,0.06382875144481659,0.07161366939544678
16,1,4938,62.43061081229851,0.0582885779440403,0.006381202023476362,0.06568142771720886,0.06479714065790176
8,9,1834,15.430446581561064,0.045325931161642075,0.005767161957919598,0.12098872661590576,0.11212462186813354
8,8,1770,16.33526166686986,0.0280507430434227,0.0016326725017279387,0.10842476040124893,0.10604075342416763
8,7,1706,19.689772848204168,0.029769718647003174,0.0018482933519408107,0.09233681112527847,0.09073939919471741
8,6,1642,21.499794269833114,0.059582214802503586,0.0028959002811461687,0.09608682245016098,0.10571957379579544
8,5,1578,24.327223948790916,0.03501718491315842,0.0027775538619607687,0.08736781030893326,0.07615067064762115
8,4,1514,26.040628030035922,0.04300069063901901,0.0073426831513643265,0.08747454732656479,0.09441815316677094
8,3,1450,36.183021140087796,0.155255988240242,0.030858119949698448,0.1064322292804718,0.07746212929487228
8,2,1386,48.960471752919254,0.2538090944290161,0.014196950942277908,0.05880846828222275,0.06141839548945427
8,1,1322,72.46221194491481,0.026736389845609665,0.0019175633788108826,0.02784637175500393,0.02910992130637169
